CS-212L,Precipitant 1,Buffer,Additive 1,
A1,22.5 % v/v Polyethylene glycol 200,None,50.00 mM Sodium acetate; pH 4.8,None
A2,20.00 % v/v Polyethylene glycol 300,None,50.00 mM Sodium acetate; pH 5.2,None
A3,20.00 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM MES; pH 5.6,None
A4,20.00 % v/v Polyethylene glycol 400,None,50.00 mM MES; pH 6.0,None
A5,20.00 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM ADA; pH 6.4,None
A6,20.00 % v/v Polyethylene glycol 600,None,50.00 mM ADA; pH 6.8,None
A7,"17.5 % w/v Polyethylene glycol 1,000",None,50.00 mM HEPES; pH 7.1,None
A8,"17.5 % w/v Polyethylene glycol 1,500",None,50.00 mM HEPES; pH 7.3,None
A9,"15.00 % w/v Polyethylene glycol 2,000",None,50.00 mM TRIS; pH 7.6,None
A10,"15.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM TRIS; pH 8.0,None
A11,"15.00 % w/v Polyethylene glycol 3,000",None,50.00 mM BICINE; pH 8.4,None
A12,"15.00 % w/v Polyethylene glycol 4,000",None,50.00 mM BICINE; pH 8.8,None
B1,"15.00 % w/v Polyethylene glycol 1,500",None,50.00 mM Sodium acetate; pH 4.8,"3.6 % w/v Polyethylene glycol 4,000"
B2,"12.9 % w/v Polyethylene glycol 2,000",None,50.00 mM Sodium acetate; pH 5.2,6.4 % v/v Polyethylene glycol 200
B3,"12.9 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM MES; pH 5.6,5.7 % v/v Polyethylene glycol 300
B4,"12.9 % w/v Polyethylene glycol 3,000",None,50.00 mM MES; pH 6.0,5.7 % v/v Polyethylene glycol monomethyl ether 350
B5,"12.9 % w/v Polyethylene glycol 4,000",None,50.00 mM ADA; pH 6.4,5.7 % v/v Polyethylene glycol 400
B6,19.3 % v/v Polyethylene glycol 200,None,50.00 mM ADA; pH 6.8,5.7 % v/v Polyethylene glycol monomethyl ether 550
B7,17.1 % v/v Polyethylene glycol 300,None,50.00 mM HEPES; pH 7.1,5.7 % v/v Polyethylene glycol 600
B8,17.1 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM HEPES; pH 7.3,"5.00 % w/v Polyethylene glycol 1,000"
B9,17.1 % v/v Polyethylene glycol 400,None,50.00 mM TRIS; pH 7.6,"5.00 % w/v Polyethylene glycol 1,500"
B10,17.1 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM TRIS; pH 8.0,"4.3 % w/v Polyethylene glycol 2,000"
B11,17.1 % v/v Polyethylene glycol 600,None,50.00 mM BICINE; pH 8.4,"4.3 % w/v Polyethylene glycol monomethyl ether 2,000"
B12,"15.00 % w/v Polyethylene glycol 1,000",None,50.00 mM BICINE; pH 8.8,"4.3 % w/v Polyethylene glycol 3,000"
C1,14.3 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM Sodium acetate; pH 4.8,11.4 % v/v Polyethylene glycol 300
C2,14.3 % v/v Polyethylene glycol 400,None,50.00 mM Sodium acetate; pH 5.2,11.4 % v/v Polyethylene glycol monomethyl ether 350
C3,14.3 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM MES; pH 5.6,11.4 % v/v Polyethylene glycol 400
C4,14.3 % v/v Polyethylene glycol 600,None,50.00 mM MES; pH 6.0,11.4 % v/v Polyethylene glycol monomethyl ether 550
C5,"12.5 % w/v Polyethylene glycol 1,000",None,50.00 mM ADA; pH 6.4,11.4 % v/v Polyethylene glycol 600
C6,"12.5 % w/v Polyethylene glycol 1,500",None,50.00 mM ADA; pH 6.8,"10.00 % w/v Polyethylene glycol 1,000"
C7,"10.7 % w/v Polyethylene glycol 2,000",None,50.00 mM HEPES; pH 7.1,"10.00 % w/v Polyethylene glycol 1,500"
C8,"10.7 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM HEPES; pH 7.3,"8.6 % w/v Polyethylene glycol 2,000"
C9,"10.7 % w/v Polyethylene glycol 3,000",None,50.00 mM TRIS; pH 7.6,"8.6 % w/v Polyethylene glycol monomethyl ether 2,000"
C10,"10.7 % w/v Polyethylene glycol 4,000",None,50.00 mM TRIS; pH 8.0,"8.6 % w/v Polyethylene glycol 3,000"
C11,16.1 % v/v Polyethylene glycol 200,None,50.00 mM BICINE; pH 8.4,"7.1 % w/v Polyethylene glycol 4,000"
C12,14.3 % v/v Polyethylene glycol 300,None,50.00 mM BICINE; pH 8.8,12.9 % v/v Polyethylene glycol 200
D1,"8.6 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM Sodium acetate; pH 4.8,17.1 % v/v Polyethylene glycol 400
D2,"8.6 % w/v Polyethylene glycol 3,000",None,50.00 mM Sodium acetate; pH 5.2,17.1 % v/v Polyethylene glycol monomethyl ether 550
D3,"8.6 % w/v Polyethylene glycol 4,000",None,50.00 mM MES; pH 5.6,17.1 % v/v Polyethylene glycol 600
D4,12.9 % v/v Polyethylene glycol 200,None,50.00 mM MES; pH 6.0,"15.00 % w/v Polyethylene glycol 1,000"
D5,11.4 % v/v Polyethylene glycol 300,None,50.00 mM ADA; pH 6.4,"15.00 % w/v Polyethylene glycol 1,500"
D6,11.4 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM ADA; pH 6.8,"12.9 % w/v Polyethylene glycol 2,000"
D7,11.4 % v/v Polyethylene glycol 400,None,50.00 mM HEPES; pH 7.1,"12.9 % w/v Polyethylene glycol monomethyl ether 2,000"
D8,11.4 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM HEPES; pH 7.3,"12.9 % w/v Polyethylene glycol 3,000"
D9,11.4 % v/v Polyethylene glycol 600,None,50.00 mM TRIS; pH 7.6,"10.7 % w/v Polyethylene glycol 4,000"
D10,"10.00 % w/v Polyethylene glycol 1,000",None,50.00 mM TRIS; pH 8.0,19.3 % v/v Polyethylene glycol 200
D11,"10.00 % w/v Polyethylene glycol 1,500",None,50.00 mM BICINE; pH 8.4,17.1 % v/v Polyethylene glycol 300
D12,"8.6 % w/v Polyethylene glycol 2,000",None,50.00 mM BICINE; pH 8.8,17.1 % v/v Polyethylene glycol monomethyl ether 350
E1,8.6 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM Sodium acetate; pH 4.8,22.9 % v/v Polyethylene glycol 600
E2,8.6 % v/v Polyethylene glycol 600,None,50.00 mM Sodium acetate; pH 5.2,"20.00 % w/v Polyethylene glycol 1,000"
E3,"7.5 % w/v Polyethylene glycol 1,000",None,50.00 mM MES; pH 5.6,"20.00 % w/v Polyethylene glycol 1,500"
E4,"7.5 % w/v Polyethylene glycol 1,500",None,50.00 mM MES; pH 6.0,"17.1 % w/v Polyethylene glycol 2,000"
E5,"6.4 % w/v Polyethylene glycol 2,000",None,50.00 mM ADA; pH 6.4,"17.1 % w/v Polyethylene glycol monomethyl ether 2,000"
E6,"6.4 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM ADA; pH 6.8,"17.1 % w/v Polyethylene glycol 3,000"
E7,"6.4 % w/v Polyethylene glycol 3,000",None,50.00 mM HEPES; pH 7.1,"14.3 % w/v Polyethylene glycol 4,000"
E8,"6.4 % w/v Polyethylene glycol 4,000",None,50.00 mM HEPES; pH 7.3,25.7 % v/v Polyethylene glycol 200
E9,9.6 % v/v Polyethylene glycol 200,None,50.00 mM TRIS; pH 7.6,22.9 % v/v Polyethylene glycol 300
E10,8.6 % v/v Polyethylene glycol 300,None,50.00 mM TRIS; pH 8.0,22.9 % v/v Polyethylene glycol monomethyl ether 350
E11,8.6 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM BICINE; pH 8.4,22.9 % v/v Polyethylene glycol 400
E12,8.6 % v/v Polyethylene glycol 400,None,50.00 mM BICINE; pH 8.8,22.9 % v/v Polyethylene glycol monomethyl ether 550
F1,"4.3 % w/v Polyethylene glycol 4,000",None,50.00 mM Sodium acetate; pH 4.8,"25.00 % w/v Polyethylene glycol 1,500"
F2,6.4 % v/v Polyethylene glycol 200,None,50.00 mM Sodium acetate; pH 5.2,"21.4 % w/v Polyethylene glycol 2,000"
F3,5.7 % v/v Polyethylene glycol 300,None,50.00 mM MES; pH 5.6,"21.4 % w/v Polyethylene glycol monomethyl ether 2,000"
F4,5.7 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM MES; pH 6.0,"21.4 % w/v Polyethylene glycol 3,000"
F5,5.7 % v/v Polyethylene glycol 400,None,50.00 mM ADA; pH 6.4,"17.9 % w/v Polyethylene glycol 4,000"
F6,5.7 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM ADA; pH 6.8,32.1 % v/v Polyethylene glycol 200
F7,5.7 % v/v Polyethylene glycol 600,None,50.00 mM HEPES; pH 7.1,28.6 % v/v Polyethylene glycol 300
F8,"5.00 % w/v Polyethylene glycol 1,000",None,50.00 mM HEPES; pH 7.3,28.6 % v/v Polyethylene glycol monomethyl ether 350
F9,"5.00 % w/v Polyethylene glycol 1,500",None,50.00 mM TRIS; pH 7.6,28.6 % v/v Polyethylene glycol 400
F10,"4.3 % w/v Polyethylene glycol 2,000",None,50.00 mM TRIS; pH 8.0,28.6 % v/v Polyethylene glycol monomethyl ether 550
F11,"4.3 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM BICINE; pH 8.4,28.6 % v/v Polyethylene glycol 600
F12,"4.3 % w/v Polyethylene glycol 3,000",None,50.00 mM BICINE; pH 8.8,"25.00 % w/v Polyethylene glycol 1,000"
G1,"2.5 % w/v Polyethylene glycol 1,000",None,50.00 mM Sodium acetate; pH 4.8,"25.7 % w/v Polyethylene glycol monomethyl ether 2,000"
G2,"2.5 % w/v Polyethylene glycol 1,500",None,50.00 mM Sodium acetate; pH 5.2,"25.7 % w/v Polyethylene glycol 3,000"
G3,"2.1 % w/v Polyethylene glycol 2,000",None,50.00 mM MES; pH 5.6,"21.4 % w/v Polyethylene glycol 4,000"
G4,"2.1 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM MES; pH 6.0,38.6 % v/v Polyethylene glycol 200
G5,"2.1 % w/v Polyethylene glycol 3,000",None,50.00 mM ADA; pH 6.4,34.3 % v/v Polyethylene glycol 300
G6,"2.1 % w/v Polyethylene glycol 4,000",None,50.00 mM ADA; pH 6.8,34.3 % v/v Polyethylene glycol monomethyl ether 350
G7,3.2 % v/v Polyethylene glycol 200,None,50.00 mM HEPES; pH 7.1,34.3 % v/v Polyethylene glycol 400
G8,2.9 % v/v Polyethylene glycol 300,None,50.00 mM HEPES; pH 7.3,34.3 % v/v Polyethylene glycol monomethyl ether 550
G9,2.9 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM TRIS; pH 7.6,34.3 % v/v Polyethylene glycol 600
G10,2.9 % v/v Polyethylene glycol 400,None,50.00 mM TRIS; pH 8.0,"30.00 % w/v Polyethylene glycol 1,000"
G11,2.9 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM BICINE; pH 8.4,"30.00 % w/v Polyethylene glycol 1,500"
G12,2.9 % v/v Polyethylene glycol 600,None,50.00 mM BICINE; pH 8.8,"25.7 % w/v Polyethylene glycol 2,000"
H1,None,None,50.00 mM Sodium acetate; pH 4.8,"25.00 % w/v Polyethylene glycol 4,000"
H2,None,None,50.00 mM Sodium acetate; pH 5.2,45.00 % v/v Polyethylene glycol 200
H3,None,None,50.00 mM MES; pH 5.6,40.00 % v/v Polyethylene glycol 300
H4,None,None,50.00 mM MES; pH 6.0,40.00 % v/v Polyethylene glycol monomethyl ether 350
H5,None,None,50.00 mM ADA; pH 6.4,40.00 % v/v Polyethylene glycol 400
H6,None,None,50.00 mM ADA; pH 6.8,40.00 % v/v Polyethylene glycol monomethyl ether 550
H7,None,None,50.00 mM HEPES; pH 7.1,40.00 % v/v Polyethylene glycol 600
H8,None,None,50.00 mM HEPES; pH 7.3,"35.00 % w/v Polyethylene glycol 1,000"
H9,None,None,50.00 mM TRIS; pH 7.6,"35.00 % w/v Polyethylene glycol 1,500"
H10,None,None,50.00 mM TRIS; pH 8.0,"30.00 % w/v Polyethylene glycol 2,000"
H11,None,None,50.00 mM BICINE; pH 8.4,"30.00 % w/v Polyethylene glycol monomethyl ether 2,000"
H12,None,None,50.00 mM BICINE; pH 8.8,"30.00 % w/v Polyethylene glycol 3,000"
 ,,,,
Version,0001,,,
